"ID","SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","STATUS"
"0035g00000mg5cgAAA","S0129267M1","Malaysia","Item Updated"
"0035g00000mgVqwAAE","S0228760M1","Malaysia","Item Updated"
"0035g00000mgBmVAAU","S0152785M1","Malaysia","Item Updated"
"0035g00000mgLziAAE","S0191129M1","Malaysia","Item Updated"
"0035g00000mgrOdAAI","S0310047M1","Malaysia","Item Updated"
"0035g00000mfb6nAAA","S0013820M1","Malaysia","Item Updated"
"0035g00000mggOZAAY","S0268870M1","Malaysia","Item Updated"
"0035g00000oam4QAAQ","S0409199M1","Malaysia","Item Updated"
"0035g00000mfeAhAAI","S0025399M1","Malaysia","Item Updated"
"0035g00000oaz1LAAQ","S0457950M1","Malaysia","Item Updated"
"0035g00000mfjYOAAY","S0045963M1","Malaysia","Item Updated"
"0035g00000mfq3tAAA","S0070525M1","Malaysia","Item Updated"
"0035g00000mgYsfAAE","S0240314M1","Malaysia","Item Updated"
"0035g00000oaVXhAAM","S0347355M1","Malaysia","Item Updated"
"0035g00000mfmPzAAI","S0056734M1","Malaysia","Item Updated"
"0035g00000mgCKkAAM","S0154898M1","Malaysia","Item Updated"
"0035g00000mglL3AAI","S0287502M1","Malaysia","Item Updated"
"0035g00000mfp9ZAAQ","S0067118M1","Malaysia","Item Updated"
"0035g00000mgGrYAAU","S0171788M1","Malaysia","Item Updated"
"0035g00000mgrVvAAI","S0310485M1","Malaysia","Item Updated"
"0035g00000mfwoBAAQ","S0095799M1","Malaysia","Item Updated"
"0035g00000mggSDAAY","S0269090M1","Malaysia","Item Updated"
"0035g00000mgUPfAAM","S0223250M1","Malaysia","Item Updated"
"0035g00000mggY0AAI","S0269445M1","Malaysia","Item Updated"
"0035g00000mgLzkAAE","S0191131M1","Malaysia","Item Updated"
"0035g00000mgdwbAAA","S0259518M1","Malaysia","Item Updated"
"0035g00000mfelpAAA","S0027676M1","Malaysia","Item Updated"
"0035g00000mgjFHAAY","S0279721M1","Malaysia","Item Updated"
