"SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","ERROR"
"S0487819M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0523132M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0348573M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0183740M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0587231M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0047058M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0138475M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0564158M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0613648M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0349648M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
